county_name,bush_perc,clinton_perc,state,clinton_win
Autauga,55.92,30.92,AL,FALSE
Baldwin,56.52,26.24,AL,FALSE
Barbour,42.9,46.36,AL,TRUE
Bibb,46.49,43.15,AL,FALSE
Blount,53.81,32.92,AL,FALSE
Bullock,26.02,67.67,AL,TRUE
Butler,41.21,47.43,AL,TRUE
Calhoun,48.18,38.44,AL,FALSE
Chambers,43.4,45.36,AL,TRUE
Cherokee,34.85,53.61,AL,TRUE
Chilton,56.17,34.19,AL,FALSE
Choctaw,40.6,52.13,AL,TRUE
Clarke,46.9,42.87,AL,FALSE
Clay,49.68,36.02,AL,FALSE
Cleburne,46.31,40.94,AL,FALSE
Coffee,48.87,37.19,AL,FALSE
Colbert,35.98,54.4,AL,TRUE
Conecuh,39.05,50.02,AL,TRUE
Coosa,41.12,48.56,AL,TRUE
Covington,48.99,35.84,AL,FALSE
Crenshaw,44.22,45.44,AL,TRUE
Cullman,49.62,35.98,AL,FALSE
Dale,51.45,32.29,AL,FALSE
Dallas,37.72,56.38,AL,TRUE
DeKalb,48.73,38.2,AL,FALSE
Elmore,55.7,30.52,AL,FALSE
Escambia,46.44,37.5,AL,FALSE
Etowah,41.15,48.43,AL,TRUE
Fayette,42.55,45.22,AL,TRUE
Franklin,40.43,50.2,AL,TRUE
Geneva,49.08,36.71,AL,FALSE
Greene,16.49,79.18,AL,TRUE
Hale,33.22,57.8,AL,TRUE
Henry,45.7,43.15,AL,FALSE
Houston,58.33,29.76,AL,FALSE
Jackson,30.19,56.19,AL,TRUE
Jefferson,50.13,42.12,AL,FALSE
Lamar,47.29,41.3,AL,FALSE
Lauderdale,40.67,47.21,AL,TRUE
Lawrence,30.86,54.91,AL,TRUE
Lee,47.58,38.8,AL,FALSE
Limestone,45.66,37.45,AL,FALSE
Lowndes,25.8,67.99,AL,TRUE
Macon,12.94,82.78,AL,TRUE
Madison,47.71,36.14,AL,FALSE
Marengo,39.75,50.09,AL,TRUE
Marion,42.89,46.47,AL,TRUE
Marshall,45.85,39.01,AL,FALSE
Mobile,50.72,38.22,AL,FALSE
Monroe,50.48,39.73,AL,FALSE
Montgomery,47.29,43.34,AL,FALSE
Morgan,47.92,34.31,AL,FALSE
Perry,31.46,63.86,AL,TRUE
Pickens,44.63,46.46,AL,TRUE
Pike,48.45,41.88,AL,FALSE
Randolph,46.77,40.7,AL,FALSE
Russell,35.61,55.12,AL,TRUE
St. Clair,57.56,30.14,AL,FALSE
Shelby,67.97,21.42,AL,FALSE
Sumter,25.72,68.47,AL,TRUE
Talladega,48.21,40.72,AL,FALSE
Tallapoosa,52.67,36.9,AL,FALSE
Tuscaloosa,47.27,40.46,AL,FALSE
Walker,38.26,50.22,AL,TRUE
Washington,40.06,49.57,AL,TRUE
Wilcox,31.5,64.84,AL,TRUE
Winston,55.01,33.85,AL,FALSE
Apache,25.13,61.44,AZ,TRUE
Cochise,36.81,38.31,AZ,TRUE
Coconino,32.31,44.32,AZ,TRUE
Gila,31.29,40.97,AZ,TRUE
Graham,42.98,34.96,AZ,FALSE
Greenlee,36.34,42.45,AZ,TRUE
La Paz,32.23,36.44,AZ,TRUE
Maricopa,41.06,32.56,AZ,FALSE
Mohave,33.69,32.63,AZ,FALSE
Navajo,32.45,44.17,AZ,TRUE
Pima,34.47,45.68,AZ,TRUE
Pinal,31.76,42.1,AZ,TRUE
Santa Cruz,37.43,43.47,AZ,TRUE
Yavapai,39.42,30.75,AZ,FALSE
Yuma,41.55,36.97,AZ,FALSE
Alachua,39.87,49.61,FL,TRUE
Baker,50.59,29.25,FL,FALSE
Bay,49.99,28.12,FL,FALSE
Bradford,44.02,36.46,FL,FALSE
Brevard,43.19,31.19,FL,FALSE
Broward,30.92,51.85,FL,TRUE
Calhoun,37.58,36.36,FL,FALSE
Charlotte,39.17,36.91,FL,FALSE
Citrus,36.68,35.62,FL,FALSE
Clay,57.95,23.33,FL,FALSE
Collier,53.44,26.13,FL,FALSE
Columbia,43.41,36.97,FL,FALSE
DeSoto,41.32,35.62,FL,FALSE
Dixie,32.04,42.42,FL,TRUE
Duval,49.47,36.85,FL,FALSE
Escambia,50.24,30.45,FL,FALSE
Flagler,38.19,40.92,FL,TRUE
Franklin,37.99,35.05,FL,FALSE
Gadsden,27.62,58.96,FL,TRUE
Gilchrist,34.73,37.62,FL,TRUE
Glades,35.12,38.68,FL,TRUE
Gulf,45.29,33.11,FL,FALSE
Hamilton,37.64,43.54,FL,TRUE
Hardee,45.08,31.37,FL,FALSE
Hendry,40.91,33.57,FL,FALSE
Hernando,36.47,39.06,FL,TRUE
Highlands,44.76,34.69,FL,FALSE
Hillsborough,42.07,37.13,FL,FALSE
Holmes,48.96,28.75,FL,FALSE
Indian River,43.54,28.12,FL,FALSE
Jackson,45.82,37.35,FL,FALSE
Jefferson,32.19,48.55,FL,TRUE
Lafayette,41.15,34.34,FL,FALSE
Lake,44.17,33.24,FL,FALSE
Lee,44.24,32.32,FL,FALSE
Leon,32.87,49.12,FL,TRUE
Levy,34.71,39.59,FL,TRUE
Liberty,43.71,31.83,FL,FALSE
Madison,34.38,45.36,FL,TRUE
Manatee,42.63,33.77,FL,FALSE
Marion,40.74,35.44,FL,FALSE
Martin,46.63,27.83,FL,FALSE
Miami-Dade,43.19,46.73,FL,TRUE
Monroe,34.38,36.3,FL,TRUE
Nassau,51.54,30.28,FL,FALSE
Okaloosa,53.13,19.49,FL,FALSE
Okeechobee,35.2,36.48,FL,TRUE
Orange,45.9,34.89,FL,FALSE
Osceola,42.29,33.16,FL,FALSE
Palm Beach,34.63,46.36,FL,TRUE
Pasco,35.11,39.08,FL,TRUE
Pinellas,37.63,37.96,FL,TRUE
Polk,45.21,35.26,FL,FALSE
Putnam,34.72,41.73,FL,TRUE
St. Johns,50.49,30.74,FL,FALSE
St. Lucie,35.76,34.99,FL,FALSE
Santa Rosa,52.9,20,FL,FALSE
Sarasota,42.76,34.89,FL,FALSE
Seminole,48.57,30.33,FL,FALSE
Sumter,35.41,40.77,FL,TRUE
Suwannee,40.23,35.06,FL,FALSE
Taylor,37.34,35.6,FL,FALSE
Union,43.29,34.95,FL,FALSE
Volusia,38.05,41.94,FL,TRUE
Wakulla,38.52,34.55,FL,FALSE
Walton,42.25,28.69,FL,FALSE
Washington,46.94,32.32,FL,FALSE
Ada,44.48,28.99,ID,FALSE
Adams,38.93,23.59,ID,FALSE
Bannock,37.3,34.43,ID,FALSE
Bear Lake,49.72,19.69,ID,FALSE
Benewah,33.03,34.3,ID,TRUE
Bingham,45.86,22.29,ID,FALSE
Blaine,27.96,35.71,ID,TRUE
Boise,39.31,26.85,ID,FALSE
Bonner,28.49,36.14,ID,TRUE
Bonneville,46.8,19.83,ID,FALSE
Boundary,39.19,29.01,ID,FALSE
Butte,40.05,28.81,ID,FALSE
Camas,41.56,27.57,ID,FALSE
Canyon,50.78,24.03,ID,FALSE
Caribou,41.72,17.37,ID,FALSE
Cassia,53.16,17.73,ID,FALSE
Clark,46.1,22.46,ID,FALSE
Clearwater,30.87,38.4,ID,TRUE
Custer,38.31,26.06,ID,FALSE
Elmore,44.8,26.97,ID,FALSE
Franklin,52.22,12.94,ID,FALSE
Fremont,47.09,18.23,ID,FALSE
Gem,42.9,28.11,ID,FALSE
Gooding,39.14,27.5,ID,FALSE
Idaho,40.23,29.31,ID,FALSE
Jefferson,48.78,13.74,ID,FALSE
Jerome,44.23,25.88,ID,FALSE
Kootenai,35.96,31.8,ID,FALSE
Latah,32.78,44.29,ID,TRUE
Lemhi,40.3,26.07,ID,FALSE
Lewis,33.35,37.91,ID,TRUE
Lincoln,38.61,30.25,ID,FALSE
Madison,59.14,9.55,ID,FALSE
Minidoka,44.55,24.47,ID,FALSE
Nez Perce,32,41.65,ID,TRUE
Oneida,38.21,18.81,ID,FALSE
Owyhee,47.82,22.33,ID,FALSE
Payette,42.92,24.55,ID,FALSE
Power,45.41,28.12,ID,FALSE
Shoshone,22.01,48.59,ID,TRUE
Teton,39.73,24.61,ID,FALSE
Twin Falls,43.97,28.05,ID,FALSE
Valley,37.27,30.32,ID,FALSE
Washington,42.09,26.21,ID,FALSE
Adams,47.83,29.18,IN,FALSE
Allen,45.24,32.6,IN,FALSE
Bartholomew,47.91,30.19,IN,FALSE
Benton,46.96,28.24,IN,FALSE
Blackford,40.62,36.14,IN,FALSE
Boone,54.64,22.94,IN,FALSE
Brown,41.63,32.08,IN,FALSE
Carroll,44.38,29.91,IN,FALSE
Cass,45.7,29.3,IN,FALSE
Clark,36.34,47.58,IN,TRUE
Clay,46.2,32.53,IN,FALSE
Clinton,50.24,28.55,IN,FALSE
Crawford,38.11,45.25,IN,TRUE
Daviess,53.15,30.43,IN,FALSE
Dearborn,44.8,32.86,IN,FALSE
Decatur,50.48,26.96,IN,FALSE
DeKalb,44.48,30.97,IN,FALSE
Delaware,40.36,38.56,IN,FALSE
Dubois,42.44,36.76,IN,FALSE
Elkhart,53.5,28.09,IN,FALSE
Fayette,40.86,37.06,IN,FALSE
Floyd,40.24,44.4,IN,TRUE
Fountain,40.32,33.64,IN,FALSE
Franklin,46.91,30.07,IN,FALSE
Fulton,46.7,29.93,IN,FALSE
Gibson,34.95,46.68,IN,TRUE
Grant,48.04,32.05,IN,FALSE
Greene,39.76,39.91,IN,TRUE
Hamilton,62.46,18.43,IN,FALSE
Hancock,53.65,23.02,IN,FALSE
Harrison,39.52,42.19,IN,TRUE
Hendricks,55.45,21.34,IN,FALSE
Henry,43.62,33.99,IN,FALSE
Howard,44.57,29.96,IN,FALSE
Huntington,56.79,24.07,IN,FALSE
Jackson,44.81,35.02,IN,FALSE
Jasper,48.62,30.67,IN,FALSE
Jay,40.84,36.31,IN,FALSE
Jefferson,37.43,41.77,IN,TRUE
Jennings,42.66,33.72,IN,FALSE
Johnson,54.36,23.27,IN,FALSE
Knox,38.67,38.87,IN,TRUE
Kosciusko,57.44,21.5,IN,FALSE
LaGrange,48.15,28.12,IN,FALSE
Lake,28.91,55.17,IN,TRUE
LaPorte,35.24,41.72,IN,TRUE
Lawrence,45.96,33.11,IN,FALSE
Madison,39.76,37.72,IN,FALSE
Marion,43.66,37.75,IN,FALSE
Marshall,48.58,29.65,IN,FALSE
Martin,46.4,37.11,IN,FALSE
Miami,46.1,28.5,IN,FALSE
Monroe,38.22,45.22,IN,TRUE
Montgomery,52.2,23.15,IN,FALSE
Morgan,51.83,22.22,IN,FALSE
Newton,42.95,32.88,IN,FALSE
Noble,42.9,32.17,IN,FALSE
Ohio,40.14,38.58,IN,FALSE
Orange,46.64,36.78,IN,FALSE
Owen,42,33.67,IN,FALSE
Parke,41.6,34.22,IN,FALSE
Perry,31.69,51.47,IN,TRUE
Pike,33.84,46.46,IN,TRUE
Porter,39.68,36.84,IN,FALSE
Posey,38.72,40.44,IN,TRUE
Pulaski,45.84,32.96,IN,FALSE
Putnam,44.33,28.94,IN,FALSE
Randolph,41.9,32.84,IN,FALSE
Ripley,46.02,31.82,IN,FALSE
Rush,48.36,27.07,IN,FALSE
Saint Joseph,37.27,44.23,IN,TRUE
Scott,33.71,51.98,IN,TRUE
Shelby,49.81,28.13,IN,FALSE
Spencer,39.56,44.9,IN,TRUE
Starke,35.4,42.19,IN,TRUE
Steuben,42.44,31.65,IN,FALSE
Sullivan,33.29,45.93,IN,TRUE
Switzerland,35.74,45.31,IN,TRUE
Tippecanoe,45.79,34.46,IN,FALSE
Tipton,49.55,26.96,IN,FALSE
Union,46.97,30.26,IN,FALSE
Vanderburgh,39.39,43.99,IN,TRUE
Vermillion,30.13,46.63,IN,TRUE
Vigo,37.56,42.81,IN,TRUE
Wabash,46.77,29.92,IN,FALSE
Warren,40,34.15,IN,FALSE
Warrick,39.23,41.78,IN,TRUE
Washington,40.2,40.69,IN,TRUE
Wayne,44.69,36.42,IN,FALSE
Wells,48.17,27.26,IN,FALSE
White,45.22,29.23,IN,FALSE
Whitley,43.27,29.6,IN,FALSE
Allen,36.56,35.96,KS,FALSE
Anderson,33.03,31.95,KS,FALSE
Atchison,33.48,39.3,KS,TRUE
Barber,42.52,26.35,KS,FALSE
Barton,37.65,28.32,KS,FALSE
Bourbon,40.17,35.05,KS,FALSE
Brown,41.61,27.88,KS,FALSE
Butler,38.79,29.75,KS,FALSE
Chase,36.2,27.89,KS,FALSE
Chautauqua,41.15,28.85,KS,FALSE
Cherokee,36.78,41.85,KS,TRUE
Cheyenne,49.17,23.19,KS,FALSE
Clark,51.49,22.32,KS,FALSE
Clay,47.89,20.63,KS,FALSE
Cloud,39.12,31.57,KS,FALSE
Coffey,42.44,23.76,KS,FALSE
Comanche,49.49,25.29,KS,FALSE
Cowley,34.35,34.24,KS,FALSE
Crawford,32.96,44.4,KS,TRUE
Decatur,45,27.57,KS,FALSE
Dickinson,41.76,27.31,KS,FALSE
Doniphan,39.74,29.62,KS,FALSE
Douglas,30.64,45.99,KS,TRUE
Edwards,39.95,29.45,KS,FALSE
Elk,42.94,27.84,KS,FALSE
Ellis,32,36.49,KS,TRUE
Ellsworth,36.96,31.18,KS,FALSE
Finney,48.28,23.89,KS,FALSE
Ford,41.93,25.44,KS,FALSE
Franklin,37.43,30.03,KS,FALSE
Geary,38.75,33.87,KS,FALSE
Gove,46.42,22.22,KS,FALSE
Graham,39.33,28.97,KS,FALSE
Grant,51.71,20.5,KS,FALSE
Gray,47.81,20.39,KS,FALSE
Greeley,57.73,21.88,KS,FALSE
Greenwood,36.62,32.75,KS,FALSE
Hamilton,51.96,28.01,KS,FALSE
Harper,40.59,25.01,KS,FALSE
Harvey,41.71,33.63,KS,FALSE
Haskell,56.02,18.4,KS,FALSE
Hodgeman,50.85,20.99,KS,FALSE
Jackson,35.48,29.52,KS,FALSE
Jefferson,33.02,32.62,KS,FALSE
Jewell,45.65,23.74,KS,FALSE
Johnson,43.83,30.57,KS,FALSE
Kearny,55.18,22.47,KS,FALSE
Kingman,40.36,26.42,KS,FALSE
Kiowa,55.9,18.77,KS,FALSE
Labette,33.09,41.23,KS,TRUE
Lane,51.89,20.4,KS,FALSE
Leavenworth,33.39,34.86,KS,TRUE
Lincoln,41.11,28.18,KS,FALSE
Linn,34.2,32.75,KS,FALSE
Logan,52.95,20.77,KS,FALSE
Lyon,34.73,32.83,KS,FALSE
McPherson,44.22,28.06,KS,FALSE
Marion,49.47,25.62,KS,FALSE
Marshall,34.65,34.52,KS,FALSE
Meade,52.45,19.87,KS,FALSE
Miami,31.8,34.56,KS,TRUE
Mitchell,43.86,25.7,KS,FALSE
Montgomery,43.04,34.27,KS,FALSE
Morris,34.43,30.76,KS,FALSE
Morton,54.79,23.83,KS,FALSE
Nemaha,39.51,28.12,KS,FALSE
Neosho,37.07,35.46,KS,FALSE
Ness,43.6,25.47,KS,FALSE
Norton,47.88,25.39,KS,FALSE
Osage,34.51,30.95,KS,FALSE
Osborne,38.47,29.88,KS,FALSE
Ottawa,45.53,27.09,KS,FALSE
Pawnee,37.85,31.19,KS,FALSE
Phillips,46.61,24.88,KS,FALSE
Pottawatomie,38.87,26.27,KS,FALSE
Pratt,37.17,30.63,KS,FALSE
Rawlins,52.87,20.31,KS,FALSE
Reno,40.1,32.63,KS,FALSE
Republic,46.43,24.67,KS,FALSE
Rice,40.94,29.5,KS,FALSE
Riley,38.51,36.39,KS,FALSE
Rooks,40.42,24.95,KS,FALSE
Rush,35.74,32.58,KS,FALSE
Russell,35.72,29.34,KS,FALSE
Saline,36.26,33.4,KS,FALSE
Scott,56.27,18.94,KS,FALSE
Sedgwick,40.53,33.61,KS,FALSE
Seward,51.09,21.86,KS,FALSE
Shawnee,35.66,38.86,KS,TRUE
Sheridan,45.17,21.21,KS,FALSE
Sherman,49.73,24.71,KS,FALSE
Smith,43.34,27.66,KS,FALSE
Stafford,38.55,28.15,KS,FALSE
Stanton,55.71,22.44,KS,FALSE
Stevens,56.84,15.74,KS,FALSE
Sumner,35.27,30.76,KS,FALSE
Thomas,47.14,23.76,KS,FALSE
Trego,38.02,31.8,KS,FALSE
Wabaunsee,37.17,25.22,KS,FALSE
Wallace,63.7,15.38,KS,FALSE
Washington,47,24.12,KS,FALSE
Wichita,55.37,19.59,KS,FALSE
Wilson,41.53,28.72,KS,FALSE
Woodson,35.48,31.62,KS,FALSE
Wyandotte,21.06,56.27,KS,TRUE
Adams,36.73,51.99,MS,TRUE
Alcorn,44.21,45.08,MS,TRUE
Amite,45.08,45.91,MS,TRUE
Attala,49.67,42.54,MS,FALSE
Benton,31.68,60.73,MS,TRUE
Bolivar,33.4,61.87,MS,TRUE
Calhoun,50.87,39.25,MS,FALSE
Carroll,54.96,38.33,MS,FALSE
Chickasaw,44.96,45.95,MS,TRUE
Choctaw,53.77,38.08,MS,FALSE
Claiborne,21.19,74.84,MS,TRUE
Clarke,60.67,32.58,MS,FALSE
Clay,38.5,53.95,MS,TRUE
Coahoma,36.85,57.33,MS,TRUE
Copiah,48.68,46.53,MS,FALSE
Covington,50.39,39.67,MS,FALSE
DeSoto,58.4,32.03,MS,FALSE
Forrest,54.64,36.62,MS,FALSE
Franklin,49.31,40.3,MS,FALSE
George,43.55,27.87,MS,FALSE
Greene,51.9,35.89,MS,FALSE
Grenada,49.34,43.93,MS,FALSE
Hancock,47.78,34.61,MS,FALSE
Harrison,52.84,32.21,MS,FALSE
Hinds,46.9,45.23,MS,FALSE
Holmes,28.17,68.04,MS,TRUE
Humphreys,36.75,57.57,MS,TRUE
Issaquena,30.1,55.56,MS,TRUE
Itawamba,47.54,41.72,MS,FALSE
Jackson,56.36,28.97,MS,FALSE
Jasper,43.39,47.59,MS,TRUE
Jefferson,15.96,79.39,MS,TRUE
Jefferson Davis,39.55,53.1,MS,TRUE
Jones,56.59,32.89,MS,FALSE
Kemper,41.96,51.43,MS,TRUE
Lafayette,46.07,45.84,MS,FALSE
Lamar,63.37,24.62,MS,FALSE
Lauderdale,62.25,30.91,MS,FALSE
Lawrence,44.12,42.36,MS,FALSE
Leake,50.64,42.81,MS,FALSE
Lee,54.36,34.27,MS,FALSE
Leflore,42.39,51,MS,TRUE
Lincoln,53.78,36.24,MS,FALSE
Lowndes,55.8,34.79,MS,FALSE
Madison,54,39.57,MS,FALSE
Marion,49.74,40.08,MS,FALSE
Marshall,30.75,63.24,MS,TRUE
Monroe,49.03,40.36,MS,FALSE
Montgomery,48.66,43.47,MS,FALSE
Neshoba,61.09,30.77,MS,FALSE
Newton,65.69,27.49,MS,FALSE
Noxubee,32.22,63.29,MS,TRUE
Oktibbeha,48.5,43.52,MS,FALSE
Panola,40.52,52.93,MS,TRUE
Pearl River,52.21,31.65,MS,FALSE
Perry,56.39,33.1,MS,FALSE
Pike,43.9,45.9,MS,TRUE
Pontotoc,54.92,35.44,MS,FALSE
Prentiss,50.63,39.7,MS,FALSE
Quitman,35.45,59.17,MS,TRUE
Rankin,67.76,22.52,MS,FALSE
Scott,56.47,35.9,MS,FALSE
Sharkey,36.63,55.45,MS,TRUE
Simpson,57.45,34.45,MS,FALSE
Smith,60.49,28.99,MS,FALSE
Stone,54.53,34.38,MS,FALSE
Sunflower,39.68,53.77,MS,TRUE
Tallahatchie,40.11,52.59,MS,TRUE
Tate,50.13,42.04,MS,FALSE
Tippah,50.85,39.76,MS,FALSE
Tishomingo,42.03,48.44,MS,TRUE
Tunica,30.9,64.69,MS,TRUE
Union,53.1,38.12,MS,FALSE
Walthall,45.72,41.49,MS,FALSE
Warren,49.61,39.73,MS,FALSE
Washington,38.59,53.78,MS,TRUE
Wayne,49.78,39.37,MS,FALSE
Webster,55.95,35,MS,FALSE
Wilkinson,28.29,64.91,MS,TRUE
Winston,48.07,44.08,MS,FALSE
Yalobusha,41.52,49.87,MS,TRUE
Yazoo,47.58,45.42,MS,FALSE
Adams,48.36,26.29,NE,FALSE
Antelope,52.41,17.21,NE,FALSE
Arthur,56.06,6.82,NE,FALSE
Banner,59.17,14.17,NE,FALSE
Blaine,56.51,14.13,NE,FALSE
Boone,50.21,19.08,NE,FALSE
Box Butte,38.74,34.15,NE,FALSE
Boyd,47.36,22.47,NE,FALSE
Brown,54.12,16.85,NE,FALSE
Buffalo,55.11,21.23,NE,FALSE
Burt,42.61,31.29,NE,FALSE
Butler,45.35,26.22,NE,FALSE
Cass,43.23,29.55,NE,FALSE
Cedar,43.85,22.29,NE,FALSE
Chase,48.01,19.11,NE,FALSE
Cherry,56.75,18.72,NE,FALSE
Cheyenne,51.8,22.8,NE,FALSE
Clay,50.84,22.35,NE,FALSE
Colfax,46.21,24.4,NE,FALSE
Cuming,57.1,17.6,NE,FALSE
Custer,54.64,19.35,NE,FALSE
Dakota,43.21,36.12,NE,FALSE
Dawes,48.21,24.26,NE,FALSE
Dawson,53.64,19.81,NE,FALSE
Deuel,49.82,20.71,NE,FALSE
Dixon,48.59,27.18,NE,FALSE
Dodge,44.3,28.44,NE,FALSE
Douglas,46.73,33.53,NE,FALSE
Dundy,52.99,19.55,NE,FALSE
Fillmore,42.93,28.32,NE,FALSE
Franklin,48.87,24.05,NE,FALSE
Frontier,49.97,19.22,NE,FALSE
Furnas,48.73,22.28,NE,FALSE
Gage,39.65,32.81,NE,FALSE
Garden,53.49,16.27,NE,FALSE
Garfield,54.74,20.33,NE,FALSE
Gosper,46.95,24.24,NE,FALSE
Grant,55.01,16.7,NE,FALSE
Greeley,41.44,30.66,NE,FALSE
Hall,44.67,26.58,NE,FALSE
Hamilton,51.72,21.53,NE,FALSE
Harlan,46.88,23.06,NE,FALSE
Hayes,55.35,13,NE,FALSE
Hitchcock,47.6,20.74,NE,FALSE
Holt,54.9,14.64,NE,FALSE
Hooker,62.2,15.38,NE,FALSE
Howard,40.07,26.34,NE,FALSE
Jefferson,39.7,33.53,NE,FALSE
Johnson,37.5,34.83,NE,FALSE
Kearney,53.72,19.73,NE,FALSE
Keith,51.65,18.64,NE,FALSE
Keya Paha,58.32,16.64,NE,FALSE
Kimball,52.04,22.81,NE,FALSE
Knox,49.55,22.7,NE,FALSE
Lancaster,39.46,39.28,NE,FALSE
Lincoln,45.04,32.94,NE,FALSE
Logan,60.09,17.74,NE,FALSE
Loup,59.69,15.05,NE,FALSE
Madison,56,18.73,NE,FALSE
McPherson,65.96,14.89,NE,FALSE
Merrick,48.65,22.67,NE,FALSE
Morrill,46.89,22.83,NE,FALSE
Nance,42.83,28.13,NE,FALSE
Nemaha,44.01,28.8,NE,FALSE
Nuckolls,43.16,28.19,NE,FALSE
Otoe,43.29,29.8,NE,FALSE
Pawnee,37.06,31.31,NE,FALSE
Perkins,50.54,18.01,NE,FALSE
Phelps,56.13,16.93,NE,FALSE
Pierce,52.02,17.15,NE,FALSE
Platte,55.76,17.45,NE,FALSE
Polk,49.25,22.65,NE,FALSE
Red Willow,46.8,21.83,NE,FALSE
Richardson,41.47,30.61,NE,FALSE
Rock,59.57,16.41,NE,FALSE
Saline,30.18,42.06,NE,TRUE
Sarpy,50.44,26.41,NE,FALSE
Saunders,44.11,27.41,NE,FALSE
Scotts Bluff,48.24,27.92,NE,FALSE
Seward,44.12,30.58,NE,FALSE
Sheridan,56.68,17.86,NE,FALSE
Sherman,38.74,29.89,NE,FALSE
Sioux,55.49,18.45,NE,FALSE
Stanton,49.71,19.35,NE,FALSE
Thayer,40.79,27.1,NE,FALSE
Thomas,60.34,14.93,NE,FALSE
Thurston,39.79,38.33,NE,FALSE
Valley,45.29,27.64,NE,FALSE
Washington,48.47,25.37,NE,FALSE
Wayne,51.73,22.45,NE,FALSE
Webster,42.98,27.61,NE,FALSE
Wheeler,53.02,18.97,NE,FALSE
York,53.94,19.75,NE,FALSE
Adams,39.79,28.84,ND,FALSE
Barnes,42.3,32.94,ND,FALSE
Benson,33.3,42.9,ND,TRUE
Billings,41.15,18.14,ND,FALSE
Bottineau,43.54,30.85,ND,FALSE
Bowman,37.34,26.53,ND,FALSE
Burke,37.38,27.68,ND,FALSE
Burleigh,50.9,27.61,ND,FALSE
Cass,47.65,34.03,ND,FALSE
Cavalier,48.85,27.7,ND,FALSE
Dickey,49.48,30,ND,FALSE
Divide,31.79,39.14,ND,TRUE
Dunn,37.24,31.69,ND,FALSE
Eddy,36.59,35.6,ND,FALSE
Emmons,43.09,24.49,ND,FALSE
Foster,41.39,29.12,ND,FALSE
Golden Valley,45.15,22.89,ND,FALSE
Grand Forks,44.06,35.14,ND,FALSE
Grant,45.94,21.18,ND,FALSE
Griggs,44.02,36.85,ND,FALSE
Hettinger,46.46,25.3,ND,FALSE
Kidder,43.19,27.35,ND,FALSE
LaMoure,45.96,28.85,ND,FALSE
Logan,47.31,25.77,ND,FALSE
McHenry,38.9,34.54,ND,FALSE
McIntosh,55.21,21.91,ND,FALSE
McKenzie,42.85,25.47,ND,FALSE
McLean,40.05,34.09,ND,FALSE
Mercer,45.33,26.37,ND,FALSE
Morton,43.76,31.19,ND,FALSE
Mountrail,30.92,42.35,ND,TRUE
Nelson,39.17,38.12,ND,FALSE
Oliver,40.96,24.92,ND,FALSE
Pembina,46.45,28.74,ND,FALSE
Pierce,45.21,31.3,ND,FALSE
Ramsey,41.56,33.17,ND,FALSE
Ransom,37.96,40.17,ND,TRUE
Renville,39.22,34.73,ND,FALSE
